Time Step, x CoM, y CoM, z CoM
15976000, -0.541913, -0.311514, 0.000000
15980000, -0.453512, -0.545241, -0.000002
15984000, -0.518181, -0.327370, 0.000000
15988000, -0.591934, -0.482900, 0.000000
15992000, -0.675587, -0.338486, 0.000002
15996000, -0.531956, -0.164753, -0.000002
16000000, -0.635650, -0.342015, -0.000001
16004000, -0.696338, -0.404662, -0.000000
16008000, -0.642829, -0.069830, 0.000003
16012000, -0.648110, -0.286703, 0.000002
16016000, -0.542448, -0.224045, -0.000001
16020000, -0.570287, -0.278843, -0.000001
16024000, -0.463878, -0.084996, 0.000001
16028000, -0.437198, -0.271587, 0.000000
16032000, -0.481111, -0.346337, 0.000002
16036000, -0.535060, -0.283873, 0.000002
16040000, -0.280824, -0.249261, 0.000002
16044000, -0.262800, -0.345657, -0.000001
16048000, -0.321366, -0.342334, 0.000001
16052000, -0.292388, -0.222629, -0.000000
16056000, -0.217825, -0.223248, -0.000000
16060000, -0.354326, -0.295637, 0.000000
16064000, -0.325098, -0.277855, 0.000001
16068000, -0.155400, -0.168292, 0.000000
16072000, -0.102716, -0.174799, -0.000001
16076000, -0.028417, -0.158998, 0.000001
16080000, -0.256063, -0.204897, -0.000001
16084000, -0.181361, -0.379171, -0.000002
16088000, 0.003257, -0.440851, 0.000000
16092000, 0.292635, -0.561332, -0.000000
16096000, 0.219955, -0.393242, -0.000002
16100000, -0.018060, -0.628354, 0.000003
16104000, 0.068490, -0.643210, -0.000001
16108000, -0.066547, -0.596069, -0.000000
16112000, 0.068417, -0.710057, 0.000000
16116000, 0.072780, -0.638100, -0.000001
16120000, -0.018902, -0.800128, -0.000001
16124000, 0.244879, -0.730758, 0.000003
16128000, 0.350733, -0.671081, -0.000000
16132000, 0.365470, -0.606379, -0.000003
16136000, 0.582389, -0.480477, -0.000001
16140000, 0.475409, -0.367408, 0.000002
16144000, 0.674585, -0.283255, -0.000000
16148000, 0.530597, -0.189548, -0.000001
16152000, 0.466368, 0.021877, 0.000000
16156000, 0.233020, -0.156605, 0.000001
16160000, 0.476265, -0.048373, 0.000001
16164000, 0.418218, -0.030936, -0.000002
16168000, 0.672738, 0.024316, 0.000000
16172000, 0.681921, 0.086500, -0.000001
16176000, 0.706880, 0.123028, 0.000001
16180000, 0.561574, -0.057339, 0.000000
16184000, 0.533254, -0.145458, -0.000000
16188000, 0.678908, -0.038350, -0.000000
16192000, 0.458515, 0.004863, 0.000001
16196000, 0.316660, 0.010676, 0.000000
16200000, 0.527876, -0.015502, -0.000000
16204000, 0.532200, -0.108221, 0.000001
16208000, 0.430686, -0.021617, 0.000000
16212000, 0.624051, 0.078165, 0.000001
16216000, 0.581827, -0.069427, -0.000000
16220000, 0.573787, 0.046663, -0.000000
16224000, 0.459506, -0.136705, 0.000000
16228000, 0.415360, 0.003284, -0.000000
16232000, 0.460267, 0.089632, -0.000001
16236000, 0.438297, 0.291392, -0.000000
16240000, 0.506558, 0.033423, -0.000001
16244000, 0.601384, 0.011539, -0.000001
16248000, 0.557627, 0.151884, 0.000001
16252000, 0.531831, 0.248984, 0.000000
16256000, 0.440949, -0.008467, -0.000001
16260000, 0.510755, -0.088256, 0.000001
16264000, 0.584109, 0.057993, 0.000001
